,Unnamed: 0,model_region,model,iso_list
95,134,MESSAGEix-GLOBIOM 2.1-R12|Former Soviet Union,MESSAGEix-GLOBIOM 2.1-R12,"['aze', 'arm', 'geo', 'kgz', 'kaz', 'blr', 'mda', 'rus', 'tjk', 'tkm', 'ukr', 'uzb']"
96,135,MESSAGEix-GLOBIOM 2.1-R12|Latin America and the Caribbean,MESSAGEix-GLOBIOM 2.1-R12,"['atg', 'arg', 'brb', 'bmu', 'bhs', 'blz', 'bol', 'bra', 'chl', 'cym', 'col', 'cri', 'cub', 'dma', 'dom', 'ecu', 'slv', 'guf', 'flk', 'grd', 'gtm', 'guy', 'hti', 'hnd', 'jam', 'mtq', 'msr', 'mex', 'abw', 'aia', 'sur', 'nic', 'pry', 'per', 'pan', 'kna', 'lca', 'tto', 'ury', 'vct', 'ven', 'glp', 'tca']"
97,136,MESSAGEix-GLOBIOM 2.1-R12|Middle East and North Africa,MESSAGEix-GLOBIOM 2.1-R12,"['dza', 'bhr', 'egy', 'irn', 'isr', 'irq', 'jor', 'kwt', 'lbn', 'lby', 'mar', 'omn', 'pse', 'qat', 'sau', 'sdn', 'ssd', 'syr', 'tun', 'yem', 'are']"
98,137,MESSAGEix-GLOBIOM 2.1-R12|North America,MESSAGEix-GLOBIOM 2.1-R12,"['can', 'gum', 'umi', 'pri', 'usa', 'vir']"
99,138,MESSAGEix-GLOBIOM 2.1-R12|Pacific OECD,MESSAGEix-GLOBIOM 2.1-R12,"['aus', 'jpn', 'nzl', 'cxr', 'hmd', 'tkl']"
100,139,MESSAGEix-GLOBIOM 2.1-R12|Other Pacific Asia,MESSAGEix-GLOBIOM 2.1-R12,"['asm', 'mmr', 'slb', 'brn', 'cok', 'fji', 'fsm', 'pyf', 'kir', 'kor', 'mys', 'ncl', 'niu', 'mnp', 'cck', 'vut', 'nru', 'png', 'phl', 'sgp', 'tha', 'ton', 'tuv', 'wsm', 'idn', 'tls', 'plw', 'mhl', 'twn']"
101,140,MESSAGEix-GLOBIOM 2.1-R12|South Asia,MESSAGEix-GLOBIOM 2.1-R12,"['bgd', 'lka', 'afg', 'btn', 'ind', 'mdv', 'npl', 'pak']"
102,141,MESSAGEix-GLOBIOM 2.1-R12|Western Europe,MESSAGEix-GLOBIOM 2.1-R12,"['cyp', 'dnk', 'irl', 'aut', 'fin', 'fra', 'grl', 'deu', 'grc', 'isl', 'ita', 'lie', 'mlt', 'bel', 'fro', 'and', 'gib', 'imn', 'lux', 'mco', 'myt', 'ala', 'nfk', 'iot', 'nld', 'nor', 'prt', 'reu', 'esp', 'swe', 'che', 'tur', 'gbr', 'vgb', 'wlf', 'pcn', 'spm', 'smr', 'vat', 'sjm', 'maf', 'blm', 'ggy', 'jey', 'sgs']"
103,142,AIM 3.0|Brazil,AIM 3.0,['bra']
104,143,AIM 3.0|Canada,AIM 3.0,['can']
105,144,AIM 3.0|China,AIM 3.0,"['chn', 'hkg']"
106,145,AIM 3.0|Former USSR,AIM 3.0,"['arm', 'aze', 'blr', 'geo', 'kaz', 'kgz', 'mda', 'rus', 'tjk', 'tkm', 'ukr', 'uzb']"
107,146,AIM 3.0|India,AIM 3.0,['ind']
108,147,AIM 3.0|Japan,AIM 3.0,['jpn']
109,148,AIM 3.0|Turkey,AIM 3.0,['tur']
110,149,AIM 3.0|USA,AIM 3.0,['usa']
111,150,AIM 3.0|Other Africa,AIM 3.0,"['ago', 'ben', 'bwa', 'bfa', 'bdi', 'cpv', 'cmr', 'caf', 'tcd', 'com', 'cog', 'civ', 'cod', 'dji', 'gnq', 'eri', 'swz', 'eth', 'gab', 'gmb', 'gha', 'gin', 'gnb', 'ken', 'lso', 'lbr', 'mdg', 'mwi', 'mli', 'mrt', 'mus', 'myt', 'moz', 'nam', 'ner', 'nga', 'rwa', 'reu', 'stp', 'sen', 'syc', 'sle', 'som', 'zaf', 'sdn', 'tza', 'tgo', 'uga', 'esh', 'zmb', 'zwe']"
112,151,AIM 3.0|EU & UK,AIM 3.0,"['aut', 'bel', 'cyp', 'cze', 'dnk', 'est', 'fin', 'fra', 'deu', 'grc', 'hun', 'irl', 'ita', 'lva', 'ltu', 'lux', 'mlt', 'nld', 'pol', 'prt', 'svk', 'svn', 'esp', 'swe', 'gbr']"
113,152,AIM 3.0|Rest of Europe,AIM 3.0,"['alb', 'and', 'bih', 'bgr', 'hrv', 'fro', 'gib', 'isl', 'lie', 'mco', 'mne', 'mkd', 'nor', 'rou', 'smr', 'srb', 'sjm', 'che', 'vat']"
114,153,AIM 3.0|Rest of Latin America,AIM 3.0,"['aia', 'atg', 'arg', 'abw', 'bhs', 'brb', 'blz', 'bmu', 'bol', 'bvt', 'vgb', 'cym', 'chl', 'col', 'cri', 'cub', 'dma', 'dom', 'ecu', 'slv', 'flk', 'guf', 'grl', 'grd', 'glp', 'gtm', 'guy', 'hti', 'hnd', 'jam', 'mtq', 'mex', 'msr', 'nic', 'pan', 'pry', 'per', 'pri', 'kna', 'lca', 'spm', 'vct', 'sgs', 'sur', 'tto', 'tca', 'vir', 'ury', 'ven']"
115,154,AIM 3.0|Middle East,AIM 3.0,"['bhr', 'irn', 'irq', 'isr', 'jor', 'kwt', 'lbn', 'omn', 'qat', 'sau', 'syr', 'are', 'yem']"
116,155,AIM 3.0|North Africa,AIM 3.0,"['dza', 'egy', 'lby', 'mar', 'tun']"
117,156,AIM 3.0|New Zealand and Australia,AIM 3.0,"['aus', 'nzl']"
118,157,AIM 3.0|Rest of Asia,AIM 3.0,"['afg', 'asm', 'bgd', 'btn', 'iot', 'brn', 'cxr', 'cck', 'cok', 'fji', 'pyf', 'atf', 'gum', 'hmd', 'kir', 'mdv', 'mhl', 'fsm', 'nru', 'npl', 'ncl', 'niu', 'nfk', 'mnp', 'pak', 'plw', 'png', 'pcn', 'wsm', 'slb', 'lka', 'tkl', 'ton', 'tuv', 'umi', 'vut', 'wlf']"
119,158,AIM 3.0|Rest of East and South East Asia,AIM 3.0,"['khm', 'idn', 'lao', 'mys', 'mng', 'mmr', 'prk', 'phl', 'sgp', 'kor', 'twn', 'tha', 'tls', 'vnm']"
120,159,IMAGE 3.4|Brazil,IMAGE 3.4,['bra']
121,160,IMAGE 3.4|Canada,IMAGE 3.4,['can']
122,161,IMAGE 3.4|Central Europe,IMAGE 3.4,"['alb', 'bih', 'bgr', 'hrv', 'cyp', 'cze', 'est', 'hun', 'lva', 'ltu', 'mkd', 'pol', 'rou', 'srb', 'mne', 'svk', 'svn']"
123,162,IMAGE 3.4|China Region,IMAGE 3.4,"['chn', 'hkg', 'mac', 'mng', 'twn']"
124,163,IMAGE 3.4|Eastern Africa,IMAGE 3.4,"['bdi', 'com', 'dji', 'eri', 'eth', 'ken', 'mdg', 'mus', 'reu', 'rwa', 'syc', 'som', 'sdn', 'uga']"
125,164,IMAGE 3.4|India,IMAGE 3.4,['ind']
126,165,IMAGE 3.4|Indonesia Region,IMAGE 3.4,"['tls', 'idn', 'png']"
127,166,IMAGE 3.4|Japan,IMAGE 3.4,['jpn']
128,167,IMAGE 3.4|Korea Region,IMAGE 3.4,"['kor', 'prk']"
129,168,IMAGE 3.4|Middle East,IMAGE 3.4,"['bhr', 'irn', 'irq', 'isr', 'jor', 'kwt', 'lbn', 'omn', 'pse', 'qat', 'sau', 'syr', 'are', 'yem']"
130,169,IMAGE 3.4|Mexico,IMAGE 3.4,['mex']
131,170,IMAGE 3.4|Northern Africa,IMAGE 3.4,"['dza', 'egy', 'lby', 'mar', 'tun', 'esh']"
